"","Date","PrimaryCauseDescription","TotalPaidOut","Percentage"
"544","2014-04-01","Accident",13707201,0.084919
"545","2014-04-01","Natural Causes",10668135,0.066091
"546","2014-04-01","Visual",9620347,0.0596
"547","2014-04-01","Nervous system",9425659,0.058394
"548","2014-04-01","Product",2723500,0.016872
"549","2014-04-01","Urogenital system",2450102,0.015179
"550","2014-04-01","Musculoskeletal",2157994,0.013369
"551","2014-04-01","Surgery",1836943,0.01138
"552","2014-04-01","Murder",1194203,0.007398
"553","2014-04-01","Endocrine / metabolic system",936864,0.005804
"554","2014-04-01","Psychiatric / Mental",880532,0.005455
"555","2014-04-01","Suicide",799020,0.00495
"556","2014-04-01","Skin",762189,0.004721
"557","2014-04-01","Gastrointestinal",592943,0.003673
"558","2014-04-01","Under investigation",456136,0.002825
"559","2014-04-01","Hematological",334084,0.002069
"560","2014-04-01","Ear, Nose and Throat",100000,0.000619
"561","2014-04-01","Fractures and Hospitalisation",72737,0.00045
"562","2014-04-01","HIV/AIDS",11006,6.8e-05
"563","2014-05-01","Cancer",45764962,0.277772
"564","2014-05-01","Cardiovascular",42464104,0.257737
"565","2014-05-01","Accident",13846282,0.08404
"566","2014-05-01","Nervous system",11264280,0.068368
"567","2014-05-01","Natural Causes",9885208,0.059998
"568","2014-05-01","Suicide",8940145,0.054262
"569","2014-05-01","Musculoskeletal",7290716,0.044251
"570","2014-05-01","Under investigation",6077531,0.036887
"571","2014-05-01","Skin",3677261,0.022319
"572","2014-05-01","Urogenital system",3440254,0.02088
"573","2014-05-01","Psychiatric / Mental",2876422,0.017458
"574","2014-05-01","Respiratory",2763856,0.016775
"575","2014-05-01","Product",1737342,0.010544
"576","2014-05-01","Surgery",1334957,0.008102
"577","2014-05-01","Visual",880618,0.005344
"578","2014-05-01","Hematological",875830,0.005315
"579","2014-05-01","Murder",577390,0.003504
"580","2014-05-01","Ear, Nose and Throat",557568,0.003384
"581","2014-05-01","Endocrine / metabolic system",204929,0.001243
"582","2014-05-01","Fractures and Hospitalisation",200779,0.001218
"583","2014-05-01","Trauma",52715,0.000319
"584","2014-05-01","Gastrointestinal",44100,0.000267
"585","2014-06-01","Cancer",57068729,0.282737
"586","2014-06-01","Cardiovascular",35923561,0.177977
"587","2014-06-01","Suicide",20064923,0.099408
"588","2014-06-01","Respiratory",18324220,0.090784
"589","2014-06-01","Musculoskeletal",17179390,0.085112
"590","2014-06-01","Natural Causes",12316965,0.061022
"591","2014-06-01","Accident",12227499,0.060579
"592","2014-06-01","Nervous system",8072795,0.039995
"593","2014-06-01","Murder",6135208,0.030395
"594","2014-06-01","Psychiatric / Mental",3622179,0.017945
"595","2014-06-01","Skin",1993293,0.009875
"596","2014-06-01","Gastrointestinal",1481391,0.007339
"597","2014-06-01","Surgery",1277707,0.00633
"598","2014-06-01","Urogenital system",1248091,0.006183
"599","2014-06-01","Under investigation",1073665,0.005319
"600","2014-06-01","Visual",1031907,0.005112
"601","2014-06-01","Endocrine / metabolic system",905480,0.004486
"602","2014-06-01","Ear, Nose and Throat",565211,0.0028
"603","2014-06-01","Hematological",554000,0.002744
"604","2014-06-01","Fractures and Hospitalisation",391536,0.001939
"605","2014-06-01",NA,385461,0.001909
"606","2014-07-01","Cancer",50720927,0.277906
"607","2014-07-01","Cardiovascular",36842966,0.201867
"608","2014-07-01","Musculoskeletal",29988711,0.164311
"609","2014-07-01","Natural Causes",14763973,0.080893
"610","2014-07-01","Accident",8352538,0.045764
"611","2014-07-01","Visual",7484431,0.041008
"612","2014-07-01","Gastrointestinal",6452260,0.035352
"613","2014-07-01","Respiratory",5051682,0.027678
"614","2014-07-01","Nervous system",4605864,0.025236
"615","2014-07-01","Product",2625000,0.014382
"616","2014-07-01","Suicide",2606500,0.014281
"617","2014-07-01","Murder",2439637,0.013367
"618","2014-07-01","Hematological",2438314,0.013359
"619","2014-07-01","Surgery",2084004,0.011418
"620","2014-07-01","Skin",1611068,0.008827
"621","2014-07-01","Ear, Nose and Throat",1212503,0.006643
"622","2014-07-01","Urogenital system",1196964,0.006558
"623","2014-07-01","Endocrine / metabolic system",1136506,0.006227
"624","2014-07-01",NA,611466,0.00335
"625","2014-07-01","Fractures and Hospitalisation",211422,0.001158
"626","2014-07-01","Under investigation",61528,0.000337
"627","2014-07-01","Psychiatric / Mental",8663,4.7e-05
"628","2014-07-01","Trauma",4000,2.1e-05
"629","2014-08-01","Cancer",68923094,0.31631
"630","2014-08-01","Cardiovascular",40638713,0.186504
"631","2014-08-01","Natural Causes",26163257,0.120071
"632","2014-08-01","Accident",19800198,0.090869
"633","2014-08-01","Murder",15432734,0.070825
"634","2014-08-01","Suicide",10544345,0.048391
"635","2014-08-01","Respiratory",9564195,0.043893
"636","2014-08-01","Musculoskeletal",9364993,0.042978
"637","2014-08-01","Nervous system",8813106,0.040446
"638","2014-08-01","Hematological",2016996,0.009256
"639","2014-08-01","Endocrine / metabolic system",1638502,0.007519
"640","2014-08-01","Psychiatric / Mental",1249964,0.005736
"641","2014-08-01","Gastrointestinal",843096,0.003869
"642","2014-08-01","Surgery",665717,0.003055
"643","2014-08-01","Ear, Nose and Throat",587000,0.002693
"644","2014-08-01",NA,554240,0.002543
"645","2014-08-01","Visual",373066,0.001712
"646","2014-08-01","Fractures and Hospitalisation",297636,0.001365
"647","2014-08-01","Urogenital system",293897,0.001348
"648","2014-08-01","Under investigation",92628,0.000425
"649","2014-08-01","Skin",39875,0.000182
"650","2014-09-01","Cancer",36336054,0.208005
"651","2014-09-01","Cardiovascular",36265522,0.207602
"652","2014-09-01","Murder",23192224,0.132763
"653","2014-09-01","Natural Causes",18530202,0.106076
"654","2014-09-01","Respiratory",9408685,0.05386
"655","2014-09-01","Accident",8327957,0.047673
"656","2014-09-01","Suicide",6083170,0.034823
"657","2014-09-01","Under investigation",5936680,0.033984
"658","2014-09-01","Nervous system",5323131,0.030472
"659","2014-09-01","Ear, Nose and Throat",4810422,0.027537
"660","2014-09-01","Musculoskeletal",3969522,0.022723
"661","2014-09-01","Terminal Illness",3613402,0.020684
"662","2014-09-01","Psychiatric / Mental",2577689,0.014755
"663","2014-09-01","Trauma",2537787,0.014527
"664","2014-09-01","Urogenital system",1407202,0.008055
"665","2014-09-01","Endocrine / metabolic system",1278267,0.007317
"666","2014-09-01","Hematological",1271288,0.007277
"667","2014-09-01","Gastrointestinal",914783,0.005236
"668","2014-09-01","Surgery",818144,0.004683
"669","2014-09-01","Visual",608711,0.003484
"670","2014-09-01","Fractures and Hospitalisation",592562,0.003392
"671","2014-09-01","Product",567000,0.003245
"672","2014-09-01",NA,284389,0.001627
"673","2014-09-01","Skin",32819,0.000187
