"","Date","PrimaryCauseDescription","TotalPaidOut","Percentage"
"545","2014-02-01","Surgery",4443282,0.027681
"546","2014-02-01","Urogenital system",2799981,0.017443
"547","2014-02-01","Musculoskeletal",2706528,0.016861
"548","2014-02-01","Product",1772415,0.011041
"549","2014-02-01","Ear, Nose and Throat",1582016,0.009855
"550","2014-02-01","Hematological",1343700,0.008371
"551","2014-02-01","Murder",1078865,0.006721
"552","2014-02-01","Endocrine / metabolic system",279018,0.001738
"553","2014-02-01","Skin",221697,0.001381
"554","2014-02-01","Fractures and Hospitalisation",211116,0.001315
"555","2014-02-01","Visual",203135,0.001265
"556","2014-02-01","Psychiatric / Mental",151293,0.000942
"557","2014-02-01",NA,122658,0.000764
"558","2014-02-01","HIV/AIDS",12416,7.7e-05
"559","2014-02-01","Gastrointestinal",10500,6.5e-05
"560","2014-02-01","Under investigation",3550,2.2e-05
"561","2014-03-01","Cancer",42130108,0.231105
"562","2014-03-01","Accident",35947234,0.197189
"563","2014-03-01","Cardiovascular",26777843,0.14689
"564","2014-03-01","Suicide",19455168,0.106721
"565","2014-03-01","Nervous system",11228173,0.061592
"566","2014-03-01","Respiratory",8161400,0.044769
"567","2014-03-01","Natural Causes",6697880,0.036741
"568","2014-03-01","Murder",6402686,0.035122
"569","2014-03-01","Urogenital system",4816123,0.026418
"570","2014-03-01","Endocrine / metabolic system",3623263,0.019875
"571","2014-03-01","Under investigation",3259520,0.01788
"572","2014-03-01","Visual",3094623,0.016975
"573","2014-03-01","Musculoskeletal",2545416,0.013962
"574","2014-03-01","Skin",2132056,0.011695
"575","2014-03-01",NA,1652333,0.009063
"576","2014-03-01","Surgery",1599434,0.008773
"577","2014-03-01","Gastrointestinal",1485690,0.008149
"578","2014-03-01","Trauma",500000,0.002742
"579","2014-03-01","Fractures and Hospitalisation",433344,0.002377
"580","2014-03-01","Hematological",218480,0.001198
"581","2014-03-01","Psychiatric / Mental",122166,0.00067
"582","2014-03-01","Ear, Nose and Throat",15000,8.2e-05
"583","2014-04-01","Cardiovascular",41461463,0.256864
"584","2014-04-01","Cancer",39004860,0.241645
"585","2014-04-01","Respiratory",22217755,0.137644
"586","2014-04-01","Accident",13707201,0.084919
"587","2014-04-01","Natural Causes",10668135,0.066091
"588","2014-04-01","Visual",9620347,0.0596
"589","2014-04-01","Nervous system",9425659,0.058394
"590","2014-04-01","Product",2723500,0.016872
"591","2014-04-01","Urogenital system",2450102,0.015179
"592","2014-04-01","Musculoskeletal",2157994,0.013369
"593","2014-04-01","Surgery",1836943,0.01138
"594","2014-04-01","Murder",1194203,0.007398
"595","2014-04-01","Endocrine / metabolic system",936864,0.005804
"596","2014-04-01","Psychiatric / Mental",880532,0.005455
"597","2014-04-01","Suicide",799020,0.00495
"598","2014-04-01","Skin",762189,0.004721
"599","2014-04-01","Gastrointestinal",592943,0.003673
"600","2014-04-01","Under investigation",456136,0.002825
"601","2014-04-01","Hematological",334084,0.002069
"602","2014-04-01","Ear, Nose and Throat",100000,0.000619
"603","2014-04-01","Fractures and Hospitalisation",72737,0.00045
"604","2014-04-01","HIV/AIDS",11006,6.8e-05
"605","2014-05-01","Cancer",45764962,0.277761
"606","2014-05-01","Cardiovascular",42464104,0.257728
"607","2014-05-01","Accident",13846282,0.084037
"608","2014-05-01","Nervous system",11264280,0.068366
"609","2014-05-01","Natural Causes",9891208,0.060032
"610","2014-05-01","Suicide",8940145,0.05426
"611","2014-05-01","Musculoskeletal",7290716,0.044249
"612","2014-05-01","Under investigation",6077531,0.036886
"613","2014-05-01","Skin",3677261,0.022318
"614","2014-05-01","Urogenital system",3440254,0.020879
"615","2014-05-01","Psychiatric / Mental",2876422,0.017457
"616","2014-05-01","Respiratory",2763856,0.016774
"617","2014-05-01","Product",1737342,0.010544
"618","2014-05-01","Surgery",1334957,0.008102
"619","2014-05-01","Visual",880618,0.005344
"620","2014-05-01","Hematological",875830,0.005315
"621","2014-05-01","Murder",577390,0.003504
"622","2014-05-01","Ear, Nose and Throat",557568,0.003384
"623","2014-05-01","Endocrine / metabolic system",204929,0.001243
"624","2014-05-01","Fractures and Hospitalisation",200779,0.001218
"625","2014-05-01","Trauma",52715,0.000319
"626","2014-05-01","Gastrointestinal",44100,0.000267
"627","2014-06-01","Cancer",57068729,0.282737
"628","2014-06-01","Cardiovascular",35923561,0.177977
"629","2014-06-01","Suicide",20064923,0.099408
"630","2014-06-01","Respiratory",18324220,0.090784
"631","2014-06-01","Musculoskeletal",17179390,0.085112
"632","2014-06-01","Natural Causes",12316965,0.061022
"633","2014-06-01","Accident",12227499,0.060579
"634","2014-06-01","Nervous system",8072795,0.039995
"635","2014-06-01","Murder",6135208,0.030395
"636","2014-06-01","Psychiatric / Mental",3622179,0.017945
"637","2014-06-01","Skin",1993293,0.009875
"638","2014-06-01","Gastrointestinal",1481391,0.007339
"639","2014-06-01","Surgery",1277707,0.00633
"640","2014-06-01","Urogenital system",1248091,0.006183
"641","2014-06-01","Under investigation",1073665,0.005319
"642","2014-06-01","Visual",1031907,0.005112
"643","2014-06-01","Endocrine / metabolic system",905480,0.004486
"644","2014-06-01","Ear, Nose and Throat",565211,0.0028
"645","2014-06-01","Hematological",554000,0.002744
"646","2014-06-01","Fractures and Hospitalisation",391536,0.001939
"647","2014-06-01",NA,385461,0.001909
"648","2014-07-01","Cancer",50351327,0.27644
"649","2014-07-01","Cardiovascular",36842966,0.202276
"650","2014-07-01","Musculoskeletal",29988711,0.164645
"651","2014-07-01","Natural Causes",14763973,0.081057
"652","2014-07-01","Accident",8352538,0.045857
"653","2014-07-01","Visual",7484431,0.041091
"654","2014-07-01","Gastrointestinal",6452260,0.035424
"655","2014-07-01","Respiratory",5051682,0.027734
"656","2014-07-01","Nervous system",4605864,0.025287
"657","2014-07-01","Product",2625000,0.014411
"658","2014-07-01","Suicide",2606500,0.01431
"659","2014-07-01","Murder",2439637,0.013394
"660","2014-07-01","Hematological",2438314,0.013386
"661","2014-07-01","Surgery",2084004,0.011441
"662","2014-07-01","Skin",1611068,0.008845
"663","2014-07-01","Ear, Nose and Throat",1212503,0.006656
"664","2014-07-01","Urogenital system",1196964,0.006571
"665","2014-07-01","Endocrine / metabolic system",1136506,0.006239
"666","2014-07-01",NA,611466,0.003357
"667","2014-07-01","Fractures and Hospitalisation",211422,0.00116
"668","2014-07-01","Under investigation",61528,0.000337
"669","2014-07-01","Psychiatric / Mental",8663,4.7e-05
"670","2014-07-01","Trauma",4000,2.1e-05
"671","2014-08-01","Cancer",68923094,0.316306
"672","2014-08-01","Cardiovascular",40638713,0.186501
"673","2014-08-01","Natural Causes",26163257,0.12007
"674","2014-08-01","Accident",19800198,0.090868
"675","2014-08-01","Murder",15432734,0.070824
"676","2014-08-01","Suicide",10544345,0.04839
"677","2014-08-01","Respiratory",9564195,0.043892
"678","2014-08-01","Musculoskeletal",9364993,0.042978
"679","2014-08-01","Nervous system",8813106,0.040445
"680","2014-08-01","Hematological",2016996,0.009256
"681","2014-08-01","Endocrine / metabolic system",1638502,0.007519
"682","2014-08-01","Psychiatric / Mental",1249964,0.005736
"683","2014-08-01","Gastrointestinal",843096,0.003869
"684","2014-08-01","Surgery",665717,0.003055
"685","2014-08-01","Ear, Nose and Throat",587000,0.002693
"686","2014-08-01",NA,554240,0.002543
"687","2014-08-01","Visual",373066,0.001712
"688","2014-08-01","Fractures and Hospitalisation",297636,0.001365
"689","2014-08-01","Urogenital system",296497,0.00136
"690","2014-08-01","Under investigation",92628,0.000425
"691","2014-08-01","Skin",39875,0.000182
"692","2014-09-01","Cancer",36336054,0.208086
"693","2014-09-01","Cardiovascular",36198272,0.207296
"694","2014-09-01","Murder",23192224,0.132815
"695","2014-09-01","Natural Causes",18530202,0.106117
"696","2014-09-01","Respiratory",9408685,0.05388
"697","2014-09-01","Accident",8327957,0.047691
"698","2014-09-01","Suicide",6083170,0.034836
"699","2014-09-01","Under investigation",5936680,0.033997
"700","2014-09-01","Nervous system",5323131,0.030484
"701","2014-09-01","Ear, Nose and Throat",4810422,0.027547
"702","2014-09-01","Musculoskeletal",3969522,0.022732
"703","2014-09-01","Terminal Illness",3613402,0.020692
"704","2014-09-01","Psychiatric / Mental",2577689,0.014761
"705","2014-09-01","Trauma",2537787,0.014533
"706","2014-09-01","Urogenital system",1407202,0.008058
"707","2014-09-01","Endocrine / metabolic system",1278267,0.00732
"708","2014-09-01","Hematological",1271288,0.00728
"709","2014-09-01","Gastrointestinal",914783,0.005238
"710","2014-09-01","Surgery",818144,0.004685
"711","2014-09-01","Visual",608711,0.003485
"712","2014-09-01","Fractures and Hospitalisation",592562,0.003393
"713","2014-09-01","Product",567000,0.003247
"714","2014-09-01",NA,284389,0.001628
"715","2014-09-01","Skin",32819,0.000187
"716","2014-10-01","Cancer",64475526,0.346441
"717","2014-10-01","Cardiovascular",36704303,0.19722
"718","2014-10-01","Natural Causes",15489888,0.08323
"719","2014-10-01","Urogenital system",11961760,0.064273
"720","2014-10-01","Accident",11024954,0.059239
"721","2014-10-01","Nervous system",9530181,0.051207
"722","2014-10-01","Murder",6609869,0.035516
"723","2014-10-01","Musculoskeletal",4899967,0.026328
"724","2014-10-01",NA,4860521,0.026116
"725","2014-10-01","Suicide",3553811,0.019095
"726","2014-10-01","Respiratory",3401797,0.018278
"727","2014-10-01","Psychiatric / Mental",3345600,0.017976
"728","2014-10-01","Skin",2733616,0.014688
"729","2014-10-01","Hematological",1955733,0.010508
"730","2014-10-01","Visual",1560201,0.008383
"731","2014-10-01","Gastrointestinal",1350968,0.007259
"732","2014-10-01","Endocrine / metabolic system",982225,0.005277
"733","2014-10-01","Product",542000,0.002912
"734","2014-10-01","Surgery",470404,0.002527
"735","2014-10-01","Under investigation",459225,0.002467
"736","2014-10-01","Fractures and Hospitalisation",109516,0.000588
"737","2014-10-01","Ear, Nose and Throat",86138,0.000462
"738","2014-11-01","Cardiovascular",47214423,0.240059
"739","2014-11-01","Cancer",34661248,0.176233
"740","2014-11-01","Natural Causes",25037747,0.127302
"741","2014-11-01","Suicide",23294901,0.118441
"742","2014-11-01","Musculoskeletal",19199337,0.097617
"743","2014-11-01","Accident",14119926,0.071791
"744","2014-11-01","Nervous system",8392081,0.042669
"745","2014-11-01","Visual",5014841,0.025497
"746","2014-11-01","Surgery",3529899,0.017947
"747","2014-11-01","Murder",2441490,0.012413
"748","2014-11-01","Endocrine / metabolic system",2155521,0.010959
"749","2014-11-01","Psychiatric / Mental",1773883,0.009019
"750","2014-11-01","Gastrointestinal",1761024,0.008953
"751","2014-11-01","Respiratory",1667428,0.008477
"752","2014-11-01","Hematological",1499326,0.007623
"753","2014-11-01","Urogenital system",1434212,0.007292
"754","2014-11-01","Product",1272366,0.006469
"755","2014-11-01","Skin",868622,0.004416
"756","2014-11-01","Ear, Nose and Throat",766220,0.003895
"757","2014-11-01",NA,456403,0.00232
"758","2014-11-01","Trauma",59988,0.000305
"759","2014-11-01","Fractures and Hospitalisation",57514,0.000292
